Sample	Method	Chrom    edit_dist  norm_edit_dist  pct_pairs_recovered  pct_pairs_correct  switch_err_count  switch_err_rate  ref_len     patched_len  pct_coverage  raw_bag_dist  norm_bag_dist  scaled_bag_dist  norm_scaled_bag_dist	pct_assembly_localized
HG002	GPatch	chr13    0          0.000000        1.000000             1.000000           0                 0.000000         113711932   113767211    1.000486      55279         0.000486       0                0.000000	-1
HG002	GPatch	chr14    0          0.000000        1.000000             1.000000           0                 0.000000         101150501   101150501    1.000000      0             0.000000       0                0.000000	-1
HG002	GPatch	chr15    2          0.060606        0.875000             0.933333           0                 0.000000         99794084    99883458     1.000896      89374         0.000895       0                0.000000	-1
HG002	GPatch	chr16    0          0.000000        1.000000             1.000000           0                 0.000000         96372681    96404704     1.000332      32023         0.000332       0                0.000000	-1
HG002	GPatch	chr17    0          0.000000        1.000000             1.000000           0                 0.000000         84359321    84405493     1.000547      46172         0.000547       0                0.000000	-1
HG002	GPatch	chr18    3          0.096774        0.800000             0.888889           0                 0.000000         80456848    80551681     1.001179      94833         0.001177       0                0.000000	-1
HG002	GPatch	chr19    1          0.058824        0.937500             1.000000           0                 0.000000         61734143    61754603     1.000331      20460         0.000331       0                0.000000	-1
HG002	GPatch	chr20    4          0.148148        0.769231             0.909091           0                 0.000000         66261860    66257555     0.999935      5608          0.000085       1303             0.000020	-1
HG002	GPatch	chr21    0          0.000000        1.000000             1.000000           0                 0.000000         45151202    45251928     1.002231      100726        0.002226       0                0.000000	-1
HG002	GPatch	chr22    0          0.000000        1.000000             1.000000           0                 0.000000         51347199    51368413     1.000413      21214         0.000413       0                0.000000	-1
HG002	GPatch	chrX     0          0.000000        1.000000             1.000000           0                 0.000000         154456228   154497993    1.000270      41765         0.000270       0                0.000000	-1
HG002	GPatch	chrY     0          0.000000        1.000000             1.000000           0                 0.000000         62511559    62523962     1.000198      12403         0.000198       0                0.000000	-1
HG002	GPatch	chrM     0          0.000000        0.000000             0.000000           0                 0.000000         21289       21289        1.000000      0             0.000000       0                0.000000	-1
HG002	GPatch	All  28         0.038462        0.935989             0.974815           0                 0.000000         3117828118  3119013632   1.000380      1195874       0.000383       1750             0.000001	0.9996
